Step,MidPrice,Quote_Bid,Quote_Ask,Action,Trade_Qty,Inventory,Cash,Total_PnL
39,99.850,99.117,100.433,SELL,8,-5,10612.87,113.63
40,99.449,98.917,100.232,NONE,0,-5,10612.87,113.63
41,99.920,99.387,100.703,BUY,10,5,9619.01,118.61
42,99.873,99.090,100.406,SELL,8,-3,10422.25,122.63
43,99.382,98.799,100.115,SELL,4,-7,10822.71,127.04
44,99.825,99.342,100.657,NONE,0,-7,10822.71,127.04
45,100.063,99.580,100.896,NONE,0,-7,10822.71,127.04
46,99.687,99.204,100.520,NONE,0,-7,10822.71,127.04
47,100.001,99.518,100.834,SELL,4,-11,11226.05,126.04
48,99.800,99.417,100.733,BUY,6,-5,10629.54,130.54
49,99.456,98.923,100.238,BUY,1,-4,10530.62,132.80
50,99.845,99.287,100.603,BOTH,14,-4,10539.83,140.45
51,100.001,99.443,100.759,NONE,0,-4,10539.83,140.45
52,100.198,99.640,100.956,NONE,0,-4,10539.83,140.45
53,100.525,99.967,101.283,NONE,0,-4,10539.83,140.45
54,100.800,100.242,101.558,NONE,0,-4,10539.83,140.45
55,101.138,100.580,101.896,NONE,0,-4,10539.83,140.45
56,101.001,100.443,101.759,NONE,0,-4,10539.83,140.45
57,101.485,100.927,102.243,BUY,5,1,10035.20,136.68
58,101.893,101.210,102.526,NONE,0,1,10035.20,136.68
59,101.481,100.798,102.114,NONE,0,1,10035.20,136.68
60,101.437,100.754,102.070,NONE,0,1,10035.20,136.68
61,101.119,100.436,101.752,BUY,1,2,9934.76,137.00
62,101.288,100.581,101.896,SELL,8,-6,10749.93,142.20
63,101.702,101.195,102.510,BUY,7,1,10041.57,143.27
64,101.985,101.302,102.618,NONE,0,1,10041.57,143.27
65,101.921,101.239,102.554,SELL,8,-7,10862.00,148.55
66,101.619,101.136,102.452,BOTH,6,-7,10865.95,154.62
67,101.979,101.496,102.812,BUY,7,0,10155.48,155.48
68,101.877,101.219,102.535,SELL,3,-3,10463.08,157.45
69,101.436,100.853,102.169,NONE,0,-3,10463.08,157.45
70,101.376,100.793,102.109,BUY,3,0,10160.70,160.70
71,101.782,101.124,102.440,NONE,0,0,10160.70,160.70
72,101.620,100.962,102.278,SELL,5,-5,10672.09,163.99
73,101.255,100.722,102.038,BOTH,6,-5,10676.04,169.76
74,101.464,100.931,102.247,BOTH,8,-5,10681.30,173.98
75,101.505,100.972,102.288,BUY,10,5,9671.57,179.10
76,101.154,100.371,101.687,NONE,0,5,9671.57,179.10
77,101.644,100.861,102.177,BUY,5,10,9167.27,183.71
78,102.086,101.178,102.494,NONE,0,10,9167.27,183.71
79,102.061,101.153,102.469,SELL,1,9,9269.74,188.28
80,101.626,100.743,102.059,NONE,0,9,9269.74,188.28
81,102.058,101.175,102.490,NONE,0,9,9269.74,188.28
82,101.823,100.940,102.255,SELL,2,7,9474.25,187.00
83,101.928,101.095,102.411,BOTH,2,7,9475.56,189.06
84,101.662,100.829,102.145,BOTH,10,7,9482.14,193.78
85,101.581,100.749,102.064,BUY,7,14,8776.90,199.04
86,101.324,100.316,101.632,SELL,8,6,9589.96,197.90
87,101.594,100.786,102.102,BUY,10,16,8582.10,207.60
88,101.624,100.566,101.881,BOTH,2,16,8583.42,209.39
89,102.092,101.034,102.350,NONE,0,16,8583.42,209.39
90,102.542,101.484,102.800,SELL,7,9,9303.01,225.89
91,102.407,101.524,102.840,SELL,6,3,9920.05,227.27
92,102.884,102.151,103.466,SELL,5,-2,10437.38,231.62
93,102.616,102.008,103.323,BUY,4,2,10029.35,234.58
94,102.651,101.943,103.259,NONE,0,2,10029.35,234.58
95,102.173,101.465,102.780,SELL,7,-5,10748.82,237.95
96,102.143,101.610,102.926,NONE,0,-5,10748.82,237.95
97,102.142,101.609,102.925,BUY,3,-2,10443.99,239.70
98,102.471,101.863,103.178,BOTH,4,-2,10446.62,241.68
99,102.271,101.663,102.979,BUY,6,4,9836.64,245.72
100,101.992,101.234,102.550,SELL,7,-3,10554.49,248.51
